date,ticker,name,sector,open,high,low,close,volume,returns,cum_returns
2022-01-03,RELIANCE.NS,Reliance Industries,Energy,2408.95,2425.64,2380.51,2400.0,2926105,,0.0
2022-01-04,RELIANCE.NS,Reliance Industries,Energy,2427.8,2436.56,2406.47,2422.18,1604381,0.009241666666666593,0.009241666666666593
2022-01-05,RELIANCE.NS,Reliance Industries,Energy,2424.29,2422.66,2392.56,2416.88,2516328,-0.002188111535889048,0.007033333333333447
2022-01-06,RELIANCE.NS,Reliance Industries,Energy,2449.66,2471.25,2441.2,2445.78,4932787,0.011957565125285452,0.019075000000000175
2022-01-07,RELIANCE.NS,Reliance Industries,Energy,2518.4,2544.96,2504.18,2513.56,770146,0.02771304042064271,0.047316666666666674
2022-01-10,RELIANCE.NS,Reliance Industries,Energy,2512.46,2504.36,2483.95,2503.72,4801828,-0.0039147663075479455,0.04321666666666668
2022-01-11,RELIANCE.NS,Reliance Industries,Energy,2487.68,2508.95,2492.41,2493.92,1044026,-0.003914175706548506,0.039133333333333464
2022-01-12,RELIANCE.NS,Reliance Industries,Energy,2565.29,2575.0,2559.0,2565.56,4442863,0.028725861294668587,0.0689833333333334
2022-01-13,RELIANCE.NS,Reliance Industries,Energy,2594.52,2615.88,2598.61,2601.77,4808080,0.014113877671931396,0.08407083333333354
2022-01-14,RELIANCE.NS,Reliance Industries,Energy,2593.15,2622.13,2563.32,2580.57,4874798,-0.008148299042574747,0.07523750000000029
2022-01-17,RELIANCE.NS,Reliance Industries,Energy,2618.12,2609.39,2562.97,2606.54,4972089,0.010063668104333567,0.08605833333333357
2022-01-18,RELIANCE.NS,Reliance Industries,Energy,2573.67,2593.14,2552.33,2585.58,1890254,-0.008041311470378343,0.07732500000000031
2022-01-19,RELIANCE.NS,Reliance Industries,Energy,2569.95,2568.47,2560.89,2564.68,768449,-0.00808329272348951,0.06861666666666699
2022-01-20,RELIANCE.NS,Reliance Industries,Energy,2587.58,2604.39,2534.91,2576.62,3350774,0.004655551569786587,0.07359166666666717
2022-01-21,RELIANCE.NS,Reliance Industries,Energy,2480.71,2508.0,2488.52,2488.66,4930675,-0.034137746349869214,0.036941666666667095
2022-01-24,RELIANCE.NS,Reliance Industries,Energy,2413.77,2435.3,2408.47,2412.13,4675318,-0.03075148875298339,0.005054166666667248
2022-01-25,RELIANCE.NS,Reliance Industries,Energy,2398.37,2401.0,2381.61,2388.44,1146275,-0.009821195375042002,-0.004816666666666136
2022-01-26,RELIANCE.NS,Reliance Industries,Energy,2334.69,2365.26,2342.23,2345.62,624591,-0.017928019962821007,-0.022658333333332892
